form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komkakchingmantak056,mudang,3.sg.1.pl.excl.fut.aff,na-mudang-sik-ni,na-Σ-sik-ni,na+Σ+sik+ni,n a Σ s i k n i,n a + Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak057,mudang,3.sg.1.pl.incl.fut.aff,na-mudang-sik-ni,na-Σ-sik-ni,na+Σ+sik+ni,n a Σ s i k n i,n a + Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak058,mudang,3.pl.1.sg.fut.aff,na-mudang-sik-anni,na-Σ-sik-anni,na+Σ+sik+an+ni,n a Σ s i k a n n i,n a + Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak059,mudang,3.pl.1.pl.excl.fut.aff,mudang-sik-anni,Σ-sik-anni,Σ+sik+an+ni,Σ s i k a n n i,Σ + s i k + a n + n i,sociolect_var,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak060,mudang,3.pl.1.pl.excl.fut.aff,na-mudang-sinni,na-Σ-sinni,na+mudang+sin+ni,n a m u d a ŋ s i n n i,n a + m u d a ŋ + s i n + n i,sociolect_var,fusion,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak061,mudang,3.pl.1.pl.excl.fut.aff,na-mudang-sik-anni,na-Σ-sik-anni,na+Σ+sik+an+ni,n a Σ s i k a n n i,n a + Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak062,mudang,3.pl.1.pl.incl.fut.aff,na-mudang-sik-anni,na-Σ-sik-anni,na+Σ+sik+an+ni,n a Σ s i k a n n i,n a + Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak063,mudang,3.pl.1.pl.incl.fut.aff,ni-mudang-sik-anni,ni-Σ-sik-anni,ni+Σ+sik+an+ni,n i Σ s i k a n n i,n i + Σ + s i k + a n + n i,sociolect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak064,mudang,3.sg.2.sg.fut.aff,na-mudang-sik-ni,na-Σ-sik-ni,na+Σ+sik+ni,n a Σ s i k n i,n a + Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak065,mudang,3.sg.2.pl.fut.aff,na-mudang-sik-ni,na-Σ-sik-ni,na+Σ+sik+ni,n a Σ s i k n i,n a + Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak066,mudang,3.pl.2.sg.fut.aff,na-mudang-sik-anni,na-Σ-sik-anni,na+Σ+sik+an+ni,n a Σ s i k a n n i,n a + Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak067,mudang,3.pl.2.pl.fut.aff,na-mudang-sik-anni,na-Σ-sik-anni,na+Σ+sik+an+ni,n a Σ s i k a n n i,n a + Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak068,mudang,3.sg.3.sg.fut.aff,mudang-sik-ni,Σ-sik-ni,Σ+sik+ni,Σ s i k n i,Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak069,mudang,3.sg.3.pl.fut.aff,mudang-sik-ni,Σ-sik-ni,Σ+sik+ni,Σ s i k n i,Σ + s i k + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak070,mudang,3.pl.3.sg.fut.aff,mudang-sik-anni,Σ-sik-anni,Σ+sik+an+ni,Σ s i k a n n i,Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak071,mudang,3.pl.3.pl.fut.aff,mudang-sik-anni,Σ-sik-anni,Σ+sik+an+ni,Σ s i k a n n i,Σ + s i k + a n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak072,che,1.sg.fut.neg,che-no-na-ing,Σ-no-na-ing,Σ+no+na+ing,Σ n o n a i ŋ,Σ + n o + n a + i ŋ,formal,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak073,che,1.sg.fut.neg,che-no-ning,Σ-no-ning,Σ+no+n+ing,Σ n o n i ŋ,Σ + n o + n + i ŋ,informal,fusion,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak074,che,1.pl.excl.fut.neg,che-no-na-ung,Σ-no-na-ung,Σ+no+na+ung,Σ n o n a u ŋ,Σ + n o + n a + u ŋ,formal,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak075,che,1.pl.excl.fut.neg,che-no-nung,Σ-no-nung,Σ+no+n+ung,Σ n o n u ŋ,Σ + n o + n + u ŋ,informal,fusion,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak076,che,1.pl.incl.fut.neg,che-no-sing,Σ-no-sing,Σ+no+s+ing,Σ n o s i ŋ,Σ + n o + s + i ŋ,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak077,mudang,1.sg.2.sg.fut.neg,na-mudang-no-na-ing,na-Σ-no-na-ing,na+Σ+no+na+ing,n a Σ n o n a i ŋ,n a + Σ + n o + n a + i ŋ,formal,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak078,mudang,1.sg.2.sg.fut.neg,na-mudang-no-ning,na-Σ-no-ning,na+Σ+no+n+ing,n a Σ n o n i ŋ,n a + Σ + n o + n + i ŋ,informal,fusion,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak079,mudang,1.sg.2.pl.fut.neg,mudang-no-na-ing,Σ-no-na-ing,Σ+no+na+ing,Σ n o n a i ŋ,Σ + n o + n a + i ŋ,sociolect_var,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak080,mudang,1.sg.2.pl.fut.neg,mudang-no-ning,Σ-no-ning,Σ+no+n+ing,Σ n o n i ŋ,Σ + n o + n + i ŋ,sociolect_var,fusion,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak081,mudang,1.sg.2.pl.fut.neg,na-mudang-no-na-ing,na-Σ-no-na-ing,na+Σ+no+na+ing,n a Σ n o n a i ŋ,n a + Σ + n o + n a + i ŋ,formal,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak082,mudang,1.sg.2.pl.fut.neg,na-mudang-no-ning,na-Σ-no-ning,na+Σ+no+n+ing,n a Σ n o n i ŋ,n a + Σ + n o + n + i ŋ,informal,fusion,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak083,mudang,1.sg.3.pl.fut.neg,mudang-no-ning,Σ-no-ning,Σ+no+n+ing,Σ n o n i ŋ,Σ + n o + n + i ŋ,informal,fusion,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
